Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
JQFCXJ28,journalArticle,2021,Yang Wang; Shanhong Zhang; David Chow; Jens M. Kuckelkorn,Evaluation and optimization of district energy network performance: Present and future,,,,10.1016/j.rser.2020.110577,https://www.sciencedirect.com/science/article/pii/S1364032120308613,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\YXW26WP9\Yang Wang et al. - 2021 - Evaluation and optimization of district energy net.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4GLYLJMW,journalArticle,2021,Birol Kılkış; Malik Çağlar; Mert Şengül,"Energy Benefits of Heat Pipe Technology for Achieving 100% Renewable Heating and Cooling for Fifth-Generation, Low-Temperature District Heating Systems",,,,10.3390/en14175398,https://www.mdpi.com/1996-1073/14/17/5398,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,C:\Users\yuhang.zhang\Zotero\storage\5KGC93NJ\Birol Kılkış et al. - 2021 - Energy Benefits of Heat Pipe Technology for Achiev.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XU96E3SA,journalArticle,2021,Henrik Pieper; Tanel Kirs; Igor Krupenski; Aleksandr Ledvanov; Kertu Lepiksaar; Anna Volkova,Efficient use of heat from CHP distributed by district heating system in district cooling networks,,,,10.1016/j.egyr.2021.09.041,https://www.sciencedirect.com/science/article/pii/S2352484721008489,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\MU6NVS25\Henrik Pieper et al. - 2021 - Efficient use of heat from CHP distributed by dist.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8J9ZQAM9,journalArticle,2021,Amir Ebrahimi-Moghadam; Mahmood Farzaneh-Gord; Ali Jabari Moghadam; Nidal H. Abu-Hamdeh; Mohammad Ali Lasemi; Ahmad Arabkoohsar; Ashkan Alimoradi,"Design and multi-criteria optimisation of a trigeneration district energy system based on gas turbine, Kalina, and ejector cycles: Exergoeconomic and …",,,,10.1016/j.enconman.2020.113581,https://www.sciencedirect.com/science/article/pii/S0196890420311109,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\XEFXNCG4\Amir Ebrahimi-Moghadam et al. - 2021 - Design and multi-criteria optimisation of a trigen.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEERX8FT,journalArticle,2021,Robert Weiss; Heidi Saastamoinen; Jussi Ikäheimo; Rinat Abdurafikov; Teemu Sihvonen; Jari Shemeikka,"Decarbonised district heat, electricity and synthetic renewable gas in wind-and solar-based district energy systems",,,,10.13044/j.sdewes.d8.0340,https://hrcak.srce.hr/clanak/370138,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: SDEWES Centre,,"C:\Users\yuhang.zhang\Zotero\storage\IBN9JUSU\Robert Weiss et al. - 2021 - Decarbonised district heat, electricity and synthe.pdf",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XD7SIRDR,journalArticle,2021,Sana Rehman; Bilal Khan; Jawad Arif; Zahid Ullah; Abdullah J. Aljuhani; Ahmad Alhindi; Sahibzada M. Ali,Bi-directional mutual energy trade between smart grid and energy districts using renewable energy credits,,,,10.3390/s21093088,https://www.mdpi.com/1424-8220/21/9/3088,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,C:\Users\yuhang.zhang\Zotero\storage\Z98EASRD\Sana Rehman et al. - 2021 - Bi-directional mutual energy trade between smart g.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FU2Q8HNA,journalArticle,2021,Birol Kilkis,An exergy-based minimum carbon footprint model for optimum equipment oversizing and temperature peaking in low-temperature district heating systems,,,,10.1016/j.energy.2021.121339,https://www.sciencedirect.com/science/article/pii/S0360544221015875,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\S8NB5FMD\Birol Kilkis - 2021 - An exergy-based minimum carbon footprint model for.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSZ8SXLL,journalArticle,2021,Yuekuan Zhou; Sunliang Cao; Jan L.M. Hensen,"An energy paradigm transition framework from negative towards positive district energy sharing networks—Battery cycling aging, advanced battery …",,,,10.1016/j.apenergy.2021.116606,https://www.sciencedirect.com/science/article/pii/S0306261921001446,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\UUZBBDDD\Yuekuan Zhou et al. - 2021 - An energy paradigm transition framework from negat.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XMP8PQFF,journalArticle,2021,Stefan Puschnigg; Gabriela Jauschnik; Simon Moser; Anna Volkova; Matthias Linhart,"A review of low-temperature sub-networks in existing district heating networks: Examples, conditions, replicability",,,,10.1016/j.egyr.2021.09.044,https://www.sciencedirect.com/science/article/pii/S2352484721008507,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\XIIVEHGN\Stefan Puschnigg et al. - 2021 - A review of low-temperature sub-networks in existi.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NW5JULKE,journalArticle,2021,Abolfazl Rezaei; Bahador Samadzadegan; Hadise Rasoulian; Saeed Ranjbar; Soroush Samareh Abolhassani; Azin Sanei; Ursula Eicker,A new modeling approach for low-carbon district energy system planning,,,,10.3390/en14051383,https://www.mdpi.com/1996-1073/14/5/1383,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: MDPI AG,,C:\Users\yuhang.zhang\Zotero\storage\XAP9XLXJ\Abolfazl Rezaei et al. - 2021 - A new modeling approach for low-carbon district en.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I8VDXRKB,journalArticle,2021,Rasool Alizadeh; Javad Mohebbi Najm Abad; Abolfazl Fattahi; Mohamad Reza Mohebbi; Mohammad Hossein Doranehgard; Larry K. B. Li; Ebrahim Alhajri; Nader Karimi,A machine learning approach to predicting the heat convection and thermodynamics of an external flow of hybrid nanofluid,,,,10.1115/1.4049454,https://asmedigitalcollection.asme.org/energyresources/article-abstract/143/7/070902/1093311,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: ASME International,,C:\Users\yuhang.zhang\Zotero\storage\VTD7V6P4\Rasool Alizadeh et al. - 2021 - A machine learning approach to predicting the heat.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
K8VNPBU5,journalArticle,2021,Daniel Zinsmeister; Thomas Licklederer; Franz Christange; Peter Tzscheutschler; Vedran S. Perić,A comparison of prosumer system configurations in district heating networks,,,,10.1016/j.egyr.2021.08.085,https://www.sciencedirect.com/science/article/pii/S2352484721006879,,2021,7/18/2023 15:39,7/18/2023 15:39,,,,,,,,,,,,,,,,,,,,,,Publisher: Elsevier BV,,C:\Users\yuhang.zhang\Zotero\storage\35ZVJJWZ\Daniel Zinsmeister et al. - 2021 - A comparison of prosumer system configurations in .pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7U6P69IP,journalArticle,2020,"Wirtz, Marco; Kivilip, Lukas; Remmen, Peter; Müller, Dirk",5th Generation District Heating: A novel design approach based on mathematical optimization,Applied Energy,,0306-2619,10.1016/j.apenergy.2019.114158,https://www.sciencedirect.com/science/article/pii/S0306261919318458,"This paper presents a novel design methodology based on Linear Programming for designing and evaluating distributed energy systems with bidirectional low temperature networks (BLTNs). The mathematical model determines the optimal selection and sizing of all energy conversion units in buildings and energy hubs connected to the BLTN while minimizing total annualized costs. The optimization superstructure of building energy systems comprises heat pumps, compression chillers, heat exchangers for direct cooling, cooling towers and thermal energy storages. The design approach is applied to a real-world use case in Germany and the BLTN performance is compared to a reference case with individual HVAC systems. The BLTN concept shows a cost reduction of 42% and causes 56% less CO2 emissions compared to individual HVAC systems.",2/15/2020,2/7/2023 1:01,7/18/2023 15:44,1/30/2023 6:00,114158,,,260,,Applied Energy,5th Generation District Heating,,,,,,,en,,,,,ScienceDirect,,76 citations (Crossref) [2023-03-05],,C:\Users\yuhang.zhang\Zotero\storage\TC63U2HM\Wirtz et al. - 2020 - 5th Generation District Heating A novel design ap.pdf; C:\Users\yuhang.zhang\Zotero\storage\SYBVMVQ7\Wirtz 等 - 2020 - 5th Generation District Heating A novel design ap.pdf; C:\Users\yuhang.zhang\Zotero\storage\A9XEBPXM\S0306261919318458.html,,5GDHC,District heating; District cooling; Bidirectional low temperature network; Linear Programming; Prosumer; Waste heat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
